"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"DRA","USA",52,96,"GEN"
3,"WES","USA",58,94,"GEN"
2,"COM","USA",73,103,"GEN"
3,"WES","USA",53,98,"GEN"
2,"DRA","USA",89,127,"GEN"
2,"WES","USA",51,105,"GEN"
2,"COM","USA",85,95,"ADU"
3,"WES","USA",48,127,"ADU"
3,"DRA","USA",87,82,"GEN"
2,"WES","USA",89,119,"ADU"
2,"DRA","USA",94,90,"TUT"
2,"WES","USA",71,102,"TUT"
3,"DRA","USA",87,115,"GEN"
2,"WES","USA",75,107,"GEN"
2,"COM","USA",90,90,"GEN"
3,"WES","USA",78,102,"ADU"
2,"COM","USA",89,105,"GEN"
2,"WES","USA",71,109,"GEN"
2,"DRA","ITA",58,110,"GEN"
2,"COM","ITA",76,40,"ADU"
3,"AVV","USA",32,77,"GEN"
4,"GAN","USA",31,80,"GEN"
2,"COM","ITA",90,80,"GEN"
3,"MUS","USA",38,80,"GEN"
2,"WES","USA",54,80,"GEN"
2,"DRA","GB",52,80,"GEN"
2,"CMC","USA",93,80,"TUT"
2,"CMC","USA",90,80,"TUT"
4,"POL","USA",52,82,"GEN"
3,"COM","GB",51,82,"GEN"
2,"HOR","ITA",82,82,"ADU"
3,"CMC","USA",71,82,"TUT"
2,"POL","USA",89,82,"ADU"
2,"DRA","ITA",41,82,"TUT"
4,"POL","USA",52,82,"GEN"
3,"COM","GB",51,82,"GEN"
1,"DRA","USA",94,83,"GEN"
1,"DRA","USA",94,83,"GEN"
1,"POL","USA",86,83,"ADU"
2,"HOR","GB",65,83,"ADU"
5,"COM","USA",36,83,"TUT"
3,"COM","USA",44,84,"TUT"
2,"AVV","USA",63,84,"TUT"
1,"COM","ITA",59,84,"GEN"
2,"COM","USA",89,84,"GEN"
3,"FAN","USA",44,84,"TUT"
2,"DRA","USA",56,85,"GEN"
2,"DRA","USA",93,85,"GEN"
3,"COM","ITA",48,85,"TUT"
3,"CMC","USA",90,85,"TUT"
2,"FAN","USA",90,85,"GEN"
2,"COM","ITA",58,85,"TUT"
3,"COM","ITA",48,85,"TUT"
2,"CMC","USA",93,85,"TUT"
2,"COM","ITA",47,85,"TUT"
2,"DRA","ITA",91,85,"ADU"
2,"DRA","ITA",93,85,"GEN"
2,"GIA","GB",59,85,"GEN"
2,"DRA","GB",45,85,"GEN"
2,"WES","USA",58,85,"GEN"
2,"WES","USA",58,85,"GEN"
3,"COM","ITA",63,85,"ADU"
2,"GIA","USA",92,85,"GEN"
2,"DRA","USA",58,86,"GEN"
3,"COM","FRA",90,86,"GEN"
2,"DRA","FRA",85,86,"ADU"
2,"COM","USA",54,86,"GEN"
1,"AVV","USA",55,86,"TUT"
2,"COM","USA",92,86,"TUT"
2,"COM","USA",90,87,"GEN"
2,"AVV","USA",92,87,"ADU"
2,"DRA","USA",55,87,"GEN"
2,"COM","USA",86,87,"GEN"
1,"COM","USA",51,87,"TUT"
3,"DRA","USA",90,87,"ADU"
2,"POL","USA",85,87,"ADU"
